Date,Asset,Signal,EntryPrice,InitialStopLoss,TrailingStop,ExitPrice,ExitType,PnL
2025-03-18 07:25:00-04:00,Unknown,SELL,232.5,292.5,278.99,278.99,Trailing SL,-46.49
2025-03-18 07:30:00-04:00,Unknown,SELL,231.46,291.46,278.99,278.99,Trailing SL,-47.53
2025-03-18 07:35:00-04:00,Unknown,SELL,230.2,290.2,278.99,278.99,Trailing SL,-48.79
2025-03-18 07:45:00-04:00,Unknown,BUY,231.0,171.0,280.99,280.9,Trailing SL,49.9
2025-03-18 07:55:00-04:00,Unknown,BUY,231.55,171.55,280.99,280.9,Trailing SL,49.35
2025-03-18 08:35:00-04:00,Unknown,SELL,229.48,289.48,278.99,278.99,Trailing SL,-49.51
2025-03-18 08:55:00-04:00,Unknown,SELL,228.55,288.55,278.99,278.99,Trailing SL,-50.44
2025-03-18 09:05:00-04:00,Unknown,BUY,228.47,168.47,280.99,280.9,Trailing SL,52.43
2025-03-18 11:40:00-04:00,Unknown,SELL,228.11,288.11,278.99,278.99,Trailing SL,-50.88
2025-03-18 13:55:00-04:00,Unknown,SELL,225.15,285.15,278.99,278.99,Trailing SL,-53.84
2025-03-18 14:00:00-04:00,Unknown,SELL,224.18,284.18,278.99,278.99,Trailing SL,-54.81
2025-03-18 14:10:00-04:00,Unknown,SELL,223.45,283.45,278.99,278.99,Trailing SL,-55.54
2025-03-18 14:15:00-04:00,Unknown,BUY,224.43,164.43,280.99,280.9,Trailing SL,56.47
2025-03-18 14:20:00-04:00,Unknown,BUY,225.2,165.2,280.99,280.9,Trailing SL,55.7
2025-03-19 04:00:00-04:00,Unknown,BUY,228.94,168.94,280.99,280.9,Trailing SL,51.96
2025-03-19 04:25:00-04:00,Unknown,BUY,229.89,169.89,280.99,280.9,Trailing SL,51.01
2025-03-19 04:30:00-04:00,Unknown,BUY,230.99,170.99,280.99,280.9,Trailing SL,49.91
2025-03-19 04:35:00-04:00,Unknown,SELL,230.29,290.29,278.99,278.99,Trailing SL,-48.7
2025-03-19 04:45:00-04:00,Unknown,BUY,230.7,170.7,280.99,280.9,Trailing SL,50.2
2025-03-19 05:40:00-04:00,Unknown,SELL,232.0,292.0,278.99,278.99,Trailing SL,-46.99
2025-03-19 06:00:00-04:00,Unknown,BUY,233.7,173.7,280.99,280.9,Trailing SL,47.2
2025-03-19 06:15:00-04:00,Unknown,BUY,233.84,173.84,280.99,280.9,Trailing SL,47.06
2025-03-19 10:05:00-04:00,Unknown,BUY,232.23,172.23,280.99,280.9,Trailing SL,48.67
2025-03-19 10:25:00-04:00,Unknown,SELL,231.33,291.33,278.99,278.99,Trailing SL,-47.66
2025-03-19 13:40:00-04:00,Unknown,SELL,233.9,293.9,278.99,278.99,Trailing SL,-45.09
