confidence_score,setup_type_swing,setup_type_scalp,has_3_bar_pattern,has_pop_fade,has_dip_and_rip,has_mean_reversal,volume_spike,atr_ratio,trend_up,trend_down,rr_ratio,rsi,stoch,bb_distance,win
5,0,1,0,0,0,0,0,1.0,1,0,0.6817063175101479,40.99058184121882,11.840169873136869,0.23836650769419315,1
5,0,1,0,0,0,0,0,1.0,1,0,0.6817063175101479,40.99058184121882,11.840169873136869,0.23836650769419315,1
5,0,1,0,0,0,0,0,1.0,1,0,2.0,59.32567998673382,83.92788146121505,0.8934020709180707,0
4,0,1,0,0,0,0,1,1.0,1,0,0.6775713299170941,49.75267701517994,31.561250061974,0.4550763898193677,1
4,0,1,0,0,0,0,0,1.0,1,0,2.0,62.17873913249411,77.36204803105899,0.9944363717836893,0
5,0,1,0,0,0,0,0,1.0,0,1,0.6423049422308866,36.92684136878757,15.562182469068132,-0.002127821355610577,1
5,0,1,0,0,0,0,0,1.0,0,1,0.6450740920854664,36.92684136878757,15.562182469068132,-0.002127821355610577,1
5,0,1,0,1,0,0,1,1.0,0,1,2.0,31.20009358539879,13.834883655320851,0.056506455969516194,1
5,0,1,0,1,0,0,1,1.0,0,1,2.0,31.20009358539879,13.834883655320851,0.056506455969516194,1
4,0,1,0,0,0,0,1,1.0,1,0,0.7844691656105531,74.60589476684098,102.5992587814854,1.2641391047979185,1
4,0,1,0,0,0,0,1,1.0,1,0,2.0,72.07603277993093,99.77628649363322,1.1955369046223374,1
7,0,1,0,0,0,0,0,1.0,1,0,0.7681509939835004,66.91514207059896,77.21744537002502,0.882363520059029,1
7,0,1,0,0,0,0,0,1.0,0,1,2.0,43.76214426942065,12.695080598275416,-0.0035761518210787628,0
6,0,1,0,0,0,0,1,1.0,1,0,0.7545276468439474,68.89274804686248,85.12995077058487,1.1606425713972452,1
6,0,1,0,0,0,0,1,1.0,1,0,2.0,75.26389193038031,99.99160244622311,1.0009724395524953,1
4,0,1,0,0,0,0,0,1.0,1,0,0.8263915214529789,73.02180069721422,85.33512848328039,1.2609750085620182,1
4,0,1,0,0,0,0,0,1.0,0,1,2.0,38.94676258786227,-5.889664578145861,-0.0811011540831292,0
6,0,1,0,0,0,0,1,1.0,1,0,1.0090350225577176,72.81745539787023,90.7416391301293,0.8445690257162631,1
6,0,1,0,0,0,0,1,1.0,0,1,2.0,72.22327448902183,80.66504413106566,0.7225319502765616,1
4,0,1,0,0,0,0,0,1.0,1,0,0.9076414639063062,68.20322015302014,87.2452896489491,1.1767129054762142,1
6,0,1,0,0,0,0,0,1.0,1,0,0.9867785850806432,73.45443880581868,91.46692021861932,0.9529127825924127,1
4,0,1,0,0,0,0,0,1.0,1,0,2.0,70.63705480968036,74.81136855869933,1.1254226230435838,1
6,0,1,0,0,0,0,0,1.0,1,0,2.0,64.42019281840533,83.54073046301968,1.0064649657893585,1
5,0,1,0,0,0,0,0,1.0,1,0,0.9903175476667289,71.9473170409793,83.82485685654045,0.9950050535002516,1
4,0,1,0,0,0,0,1,1.0,1,0,0.9946055283964728,76.65608599279007,93.27506206023224,0.9582276823372392,1
5,0,1,0,0,0,0,0,1.0,1,0,2.0,80.01606072175957,89.32002125819089,1.0088835826241973,1
4,0,1,0,0,0,0,0,1.0,0,1,2.0,74.42589506260114,85.66651165561142,0.8750182193757992,1
5,0,1,0,0,0,0,0,1.0,1,0,1.0293131055415168,63.31541599465927,75.88579791408662,0.9143652964765059,1
5,0,1,1,0,0,0,0,1.0,0,1,2.0,38.88550421950038,13.969465216634967,0.05839074733890724,0
4,0,1,0,0,0,0,0,1.0,1,0,0.9868781748055706,69.96709588208347,97.93179290255019,0.9648036909219848,1
4,0,1,0,0,0,0,0,1.0,0,1,2.0,26.102948228011144,9.271090230006076,0.10154887813964417,0
5,0,1,0,0,0,0,1,1.0,0,1,0.9833104090355422,32.03949371121931,13.51316344808491,0.06713278530560773,1
6,0,1,0,0,0,0,0,1.0,0,1,1.0823592960031463,32.98749869478739,27.88530652684648,-0.05378677292758957,1
6,0,1,0,0,0,0,0,1.0,1,0,2.0,60.86899089745621,97.51912936670614,1.07204541292389,0
5,0,1,0,0,0,0,0,1.0,1,0,2.0,69.57457700960018,92.37549923413704,0.9101923983240318,0
